Roulette Result

Generation	Avg	BestFit	BestProfit
0	5117.169922	2.969703	14074
1	11144.000000	3.995110	14450
2	11392.059570	3.456464	14240
3	10832.160156	3.343764	14284
4	10746.000000	3.424520	14450
5	11505.530273	3.443870	14422
6	12372.910156	3.571307	14492
7	11441.339844	3.415663	14650
8	12172.419922	3.694028	14864
9	12407.990234	3.741286	14982
10	12094.450195	3.641128	15062
11	12411.309570	3.716593	14958
12	12721.910156	4.201074	15094
13	12494.950195	3.488597	14885
14	13675.559570	4.433944	15330
15	12479.169922	3.476194	15127
16	12499.709961	3.776814	15251
17	12853.870117	3.902548	15398
18	13231.559570	3.880703	15528
19	13364.190430	3.891412	15776
20	12590.620117	4.098542	15931
21	12909.580078	3.942328	15922
22	12942.809570	3.683293	15849
23	12393.830078	3.543897	15850
24	12884.370117	3.799804	15955
25	12427.910156	3.656426	15800
26	13000.790039	3.429169	15659
27	12418.719727	3.860838	16024
28	12509.110352	3.409148	15858
29	13157.530273	3.598682	15831
30	13487.540039	3.780325	15863
31	12746.049805	3.774310	16013
32	14326.040039	4.024259	16006
33	12393.900391	3.441491	16045
34	13483.280273	3.831430	16144
35	12907.660156	3.523698	16115
36	13671.440430	4.683421	16435
37	14019.330078	4.001855	16310
38	13059.980469	3.781778	16286
39	12681.679688	3.405514	16103
40	14309.719727	4.280226	16355
41	13281.030273	3.659549	16389
42	12538.349609	3.543341	16535
43	13368.339844	4.367308	16761
44	13898.660156	4.326207	16770
45	13261.320313	3.364539	16465
46	14699.799805	4.257117	16501
47	12977.719727	3.613148	16662
48	12791.200195	3.356486	16492
49	13379.070313	4.040114	16696
50	13540.870117	4.037436	16564
51	13271.679688	3.762145	16665
52	13864.919922	3.775066	16522
53	14170.110352	4.253966	16683
54	13887.690430	3.945707	16680
55	13880.559570	3.746827	16638
56	13441.919922	3.771815	16598
57	14594.450195	4.194128	16748
58	13873.099609	3.966598	16843
59	13621.209961	3.994857	16931
60	13600.860352	3.798649	16765
61	13103.410156	3.347057	16672
62	13111.639648	3.408448	16756
63	13965.849609	3.496153	16745
64	14511.980469	3.863023	16867
65	13559.080078	3.666025	16993
66	13744.339844	3.823702	16976
67	14104.559570	3.574574	16821
68	15093.910156	4.683598	17146
69	14586.660156	4.460120	17322
70	14573.059570	3.867754	17066
71	12619.889648	3.467257	17061
72	14712.969727	3.644629	16964
73	12678.570313	3.756709	17141
74	15253.740234	4.533626	17147
75	13977.910156	3.864960	17171
76	13656.889648	4.393369	17227
77	14008.669922	4.232853	17340
78	15010.629883	3.981172	17162
79	13923.940430	3.664216	17229
80	13576.169922	3.478695	17189
81	13416.290039	3.325449	17074
82	14919.150391	4.013747	17186
83	14956.360352	4.159917	17196
84	13294.980469	3.404931	17186
85	14478.500000	3.762907	17119
86	14483.000000	3.770386	17149
87	14312.669922	3.859301	17269
88	13828.540039	3.744843	17271
89	13965.740234	3.644199	17138
90	14954.669922	4.060397	17179
91	14616.120117	3.445485	16933
92	13940.250000	3.603587	17108
93	14392.540039	4.120499	17126
94	14754.490234	4.423732	17226
95	14750.309570	4.245049	17294
96	13934.750000	3.818212	17259
97	14566.719727	3.890965	17225
98	12921.370117	3.621693	17233
99	14243.849609	3.887975	17207


Tournament Result

Generation	Avg	BestFit	BestProfit
0	15234.669922	3.861510	17083
1	5222.799805	3.549518	14086
2	5520.069824	3.303339	14127
3	5089.250000	3.249251	13790
4	5890.120117	3.150988	13836
5	5102.120117	3.316159	14010
6	5620.009766	3.124483	14115
7	6238.350098	3.055384	14015
8	6540.009766	3.145923	14007
9	6516.080078	3.510965	14496
10	6128.359863	4.094006	14626
11	6175.470215	3.447942	14329
12	5915.750000	3.004303	14011
13	5608.189941	3.079703	14087
14	5205.689941	3.496599	14244
15	6127.560059	3.140377	13943
16	5701.580078	3.131833	13833
17	6126.790039	3.361077	14163
18	6379.390137	3.514917	14186
19	6152.930176	3.846339	14528
20	6402.220215	3.783088	14277
21	6389.350098	3.423426	14422
22	6393.509766	3.843722	14538
23	6149.970215	3.196034	13987
24	5715.850098	3.816714	14356
25	6112.870117	3.374397	13937
26	5484.259766	3.410112	14114
27	6422.850098	3.606487	14120
28	5880.870117	3.333263	14498
29	6166.660156	4.178185	14826
30	6603.600098	3.313101	14181
31	5527.490234	3.289403	14097
32	4999.740234	3.078943	13991
33	5107.250000	4.305737	14595
34	6176.029785	3.567042	14104
35	6317.220215	3.332825	14170
36	5688.509766	3.203432	13873
37	6434.339844	3.307465	14183
38	5885.799805	3.700639	14573
39	6692.779785	2.754042	14111
40	5729.549805	3.282626	14447
41	6539.899902	4.077227	14616
42	6720.959961	3.384104	14108
43	6144.149902	3.538556	14109
44	6538.649902	3.963709	14466
45	6031.080078	3.149968	14070
46	6301.930176	3.721878	14530
47	6144.330078	2.815202	13831
